Material,Geometry,H_nm,Temperature_K,Energy_level,Frequency_THz,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio,Relative_change_percent
Ge,Bulk,,300,E3,4.8,60.972,52.692,0.8642,-13.580000000000004
Ge,Bulk,,300,E1,5.0,60.972,58.131,0.9534048,-4.659519999999995
Ge,Bulk,,300,E2,5.0,60.972,55.557,0.9111887,-8.881130000000004
Ge,Bulk,,300,E3,5.0,60.972,51.102,0.8381224,-16.187759999999997
Ge,Bulk,,300,E1,5.2,60.972,57.57,0.9442039,-5.5796100000000015
Ge,Bulk,,300,E2,5.2,60.972,54.749,0.8979368,-10.206320000000002
Ge,Bulk,,300,E3,5.2,60.972,49.81,0.8169324,-18.30676
Ge,Bulk,,300,E1,5.4,60.972,56.041,0.9191268,-8.087319999999998
Ge,Bulk,,300,E2,5.4,60.972,52.441,0.8600833,-13.991670000000001
Ge,Bulk,,300,E3,5.4,60.972,47.011,0.771026,-22.8974
Ge,Bulk,,300,E1,5.6,60.972,52.456,0.8603293,-13.967070000000003
Ge,Bulk,,300,E2,5.6,60.972,47.326,0.7761924,-22.38076
Ge,Bulk,,300,E3,5.6,60.972,40.889,0.6706193,-32.938069999999996
Ge,Bulk,,300,E1,5.8,60.972,52.045,0.8535885,-14.641150000000003
Ge,Bulk,,300,E2,5.8,60.972,46.963,0.7702388,-22.97612
Ge,Bulk,,300,E3,5.8,60.972,40.669,0.6670111,-33.29889
Ge,Bulk,,300,E1,6.0,60.972,52.187,0.8559175,-14.40825
Ge,Bulk,,300,E2,6.0,60.972,47.049,0.7716493,-22.83507
Ge,Bulk,,300,E3,6.0,60.972,40.856,0.6700781,-32.99219
Ge,Bulk,,300,E1,6.2,60.972,52.994,0.8691531,-13.084689999999998
Ge,Bulk,,300,E2,6.2,60.972,47.769,0.783458,-21.654200000000003
Ge,Bulk,,300,E3,6.2,60.972,41.78,0.6852326,-31.476740000000003
Ge,Bulk,,300,E1,6.4,60.972,55.754,0.9144197,-8.558030000000006
Ge,Bulk,,300,E2,6.4,60.972,50.168,0.8228039,-17.719609999999996
Ge,Bulk,,300,E3,6.4,60.972,43.952,0.7208555,-27.914450000000002
Ge,Bulk,,300,E1,6.6,60.972,58.545,0.9601948,-3.9805199999999985
Ge,Bulk,,300,E2,6.6,60.972,54.451,0.8930493,-10.695069999999996
Ge,Bulk,,300,E3,6.6,60.972,49.02,0.8039756,-19.602439999999998
Ge,Bulk,,300,E1,6.8,60.972,58.964,0.9670669,-3.293310000000005
Ge,Bulk,,300,E2,6.8,60.972,55.411,0.9087942,-9.12058
Ge,Bulk,,300,E3,6.8,60.972,50.017,0.8203274,-17.967259999999996
Ge,Bulk,,300,E1,7.0,60.972,58.643,0.9618021,-3.8197900000000007
Ge,Bulk,,300,E2,7.0,60.972,55.191,0.905186,-9.481399999999995
Ge,Bulk,,300,E3,7.0,60.972,50.081,0.821377,-17.862299999999998
Ge,Bulk,,300,E1,7.2,60.972,57.078,0.9361346,-6.3865399999999966
Ge,Bulk,,300,E2,7.2,60.972,54.129,0.8877682,-11.22318
Ge,Bulk,,300,E3,7.2,60.972,49.99,0.8198845,-18.01155
Ge,Bulk,,300,E1,7.4,60.972,57.284,0.9395132,-6.048679999999996
Ge,Bulk,,300,E2,7.4,60.972,54.353,0.891442,-10.855800000000004
Ge,Bulk,,300,E3,7.4,60.972,50.47,0.827757,-17.224300000000003
Ge,Bulk,,300,E1,7.6,60.972,58.686,0.9625074,-3.7492599999999987
Ge,Bulk,,300,E2,7.6,60.972,55.908,0.9169455,-8.305450000000004
Ge,Bulk,,300,E3,7.6,60.972,52.589,0.8625107,-13.748930000000003
Ge,Film,100.0,300,E1,0.6,20.723380668707065,21.339359632728367,1.0297238647433355,2.972386474333555
Ge,Film,100.0,300,E1,0.8,20.723380668707065,21.406689542113533,1.0329728476415185,3.2972847641518532
Ge,Film,100.0,300,E1,1.0,20.723380668707065,21.173905160370342,1.0217399129449753,2.173991294497535
Ge,Film,100.0,300,E1,1.2,20.723380668707065,21.083110491861945,1.017358645720294,1.7358645720294108
Ge,Film,100.0,300,E1,1.4,20.723380668707065,21.018674711803108,1.0142493180922911,1.424931809229113
Ge,Film,100.0,300,E1,1.6,20.723380668707065,20.818684849095604,1.0045988722550685,0.4598872255068498
Ge,Film,100.0,300,E1,1.8,20.723380668707065,20.74674644113247,1.0011275077555606,0.11275077555605861
Ge,Film,100.0,300,E1,2.0,20.723380668707065,20.739234860543664,1.0007650388751743,0.07650388751743176
Ge,Film,100.0,300,E1,2.2,20.723380668707065,20.613311440703548,0.9946886451702485,-0.5311354829751536
Ge,Film,100.0,300,E1,2.4,20.723380668707065,20.62666761574618,0.9953331430567732,-0.46668569432267715
Ge,Film,100.0,300,E1,2.6,20.723380668707065,20.607401288788587,0.9944034527101261,-0.559654728987391
Ge,Film,100.0,300,E1,2.8,20.723380668707065,20.597335408044433,0.9939177269057763,-0.6082273094223711
Ge,Film,100.0,300,E1,3.0,20.723380668707065,20.57337690260158,0.9927616170110702,-0.7238382988929759
Ge,Film,100.0,300,E1,3.2,20.723380668707065,20.59565075195511,0.9938364343736236,-0.6163565626376433
Ge,Film,100.0,300,E1,3.4,20.723380668707065,20.69260728064644,0.9985150401591042,-0.14849598408958053
Ge,Film,100.0,300,E1,3.6,20.723380668707065,20.652309813439295,0.9965704989738914,-0.3429501026108617
Ge,Film,100.0,300,E1,3.8,20.723380668707065,20.655780105118268,0.9967379567711712,-0.3262043228828837
Ge,Film,100.0,300,E1,4.0,20.723380668707065,20.55195099562306,0.9917277168322797,-0.8272283167720329
Ge,Film,100.0,300,E1,4.2,20.723380668707065,20.571130441558147,0.9926532147634184,-0.734678523658161
Ge,Film,100.0,300,E1,4.4,20.723380668707065,20.555380176388585,0.9918931908357903,-0.8106809164209694
Ge,Film,100.0,300,E1,4.6,20.723380668707065,20.51881165415111,0.9901285886783492,-0.9871411321650814
Ge,Film,100.0,300,E1,4.8,20.723380668707065,20.446071990564977,0.9866185598491257,-1.338144015087428
Ge,Film,100.0,300,E1,5.0,20.723380668707065,20.354589459516134,0.9822041000410798,-1.779589995892017
Ge,Film,100.0,300,E1,5.2,20.723380668707065,20.182398768835757,0.9738950942165432,-2.610490578345681
Ge,Film,100.0,300,E1,5.4,20.723380668707065,19.76180774673818,0.9535996111184268,-4.640038888157316
Ge,Film,100.0,300,E1,5.6,20.723380668707065,19.324793220361457,0.9325116171582217,-6.748838284177827
Ge,Film,100.0,300,E1,5.8,20.723380668707065,19.2051145718562,0.9267365628647891,-7.326343713521089
Ge,Film,100.0,300,E1,6.0,20.723380668707065,19.364759921570517,0.9344401973376811,-6.555980266231886
Ge,Film,100.0,300,E1,6.2,20.723380668707065,19.71029053686147,0.9511136648966068,-4.888633510339324
Ge,Film,100.0,300,E1,6.4,20.723380668707065,20.257977584879427,0.977542125425008,-2.2457874574992043
Ge,Film,100.0,300,E1,6.6,20.723380668707065,20.56908413977001,0.992554471135588,-0.7445528864411965
Ge,Film,100.0,300,E1,6.8,20.723380668707065,20.744633771797005,1.0010255615833006,0.10255615833005827
Ge,Film,100.0,300,E1,7.0,20.723380668707065,20.82431118029776,1.0048703690389234,0.487036903892335
Ge,Film,100.0,300,E1,7.2,20.723380668707065,20.86509856567685,1.006838551066322,0.683855106632203
Ge,Film,100.0,300,E1,7.4,20.723380668707065,20.900469102958997,1.0085453448490351,0.854534484903513
Ge,Film,100.0,300,E1,7.6,20.723380668707065,20.941985884145527,1.010548723634101,1.0548723634101087
Ge,Film,100.0,300,E2,0.6,20.723380668707065,21.57621018268828,1.0411530110658542,4.115301106585423
Ge,Film,100.0,300,E2,0.8,20.723380668707065,21.67918872124914,1.0461222069807063,4.612220698070635
Ge,Film,100.0,300,E2,1.0,20.723380668707065,21.333222269174236,1.0294277082593986,2.9427708259398555
Ge,Film,100.0,300,E2,1.2,20.723380668707065,21.185556368684377,1.0223021382160495,2.230213821604954
Ge,Film,100.0,300,E2,1.4,20.723380668707065,21.06314529366901,1.0163952315692872,1.6395231569287239
Ge,Film,100.0,300,E2,1.6,20.723380668707065,20.747893839927087,1.001182875111542,0.11828751115419145
Ge,Film,100.0,300,E2,1.8,20.723380668707065,20.62158509379471,0.9950878876115966,-0.4912112388403389
Ge,Film,100.0,300,E2,2.0,20.723380668707065,20.620238136347865,0.9950228906176998,-0.49771093823002266
Ge,Film,100.0,300,E2,2.2,20.723380668707065,20.400532699072464,0.9844210761363801,-1.557892386361992
Ge,Film,100.0,300,E2,2.4,20.723380668707065,20.41162685439613,0.984956420996421,-1.5043579003579
Ge,Film,100.0,300,E2,2.6,20.723380668707065,20.388759608532816,0.9838529694781152,-1.614703052188482
Ge,Film,100.0,300,E2,2.8,20.723380668707065,20.36451749098584,0.9826831739734859,-1.7316826026514076
Ge,Film,100.0,300,E2,3.0,20.723380668707065,20.330876340319374,0.9810598311799394,-1.8940168820060554
Ge,Film,100.0,300,E2,3.2,20.723380668707065,20.358921099119044,0.9824131219025298,-1.758687809747017
Ge,Film,100.0,300,E2,3.4,20.723380668707065,20.484099617839313,0.9884535706459769,-1.1546429354023058
Ge,Film,100.0,300,E2,3.6,20.723380668707065,20.348054746169343,0.9818887695720189,-1.8111230427981129
Ge,Film,100.0,300,E2,3.8,20.723380668707065,20.350733245579427,0.9820180196906605,-1.7981980309339507
Ge,Film,100.0,300,E2,4.0,20.723380668707065,20.1340812112618,0.9715635461768493,-2.8436453823150742
Ge,Film,100.0,300,E2,4.2,20.723380668707065,20.044832311340663,0.9672568695130408,-3.2743130486959204
Ge,Film,100.0,300,E2,4.4,20.723380668707065,19.985736380623273,0.9644052145797979,-3.5594785420202113
Ge,Film,100.0,300,E2,4.6,20.723380668707065,19.99317697113159,0.9647642578569188,-3.523574214308123
Ge,Film,100.0,300,E2,4.8,20.723380668707065,20.02372990817848,0.9662385799057835,-3.3761420094216454
Ge,Film,100.0,300,E2,5.0,20.723380668707065,19.85291365789091,0.9579958972557703,-4.200410274422972
Ge,Film,100.0,300,E2,5.2,20.723380668707065,19.57314982717184,0.9444959845151081,-5.550401548489193
Ge,Film,100.0,300,E2,5.4,20.723380668707065,18.961254259632145,0.9149691627420721,-8.503083725792793
Ge,Film,100.0,300,E2,5.6,20.723380668707065,18.2646754062426,0.881355976528618,-11.864402347138203
Ge,Film,100.0,300,E2,5.8,20.723380668707065,18.10826170417685,0.8738082841628672,-12.619171583713285
Ge,Film,100.0,300,E2,6.0,20.723380668707065,18.349572900224977,0.885452677512863,-11.454732248713695
Ge,Film,100.0,300,E2,6.2,20.723380668707065,18.888771171993714,0.9114715149018293,-8.852848509817068
