Material,H_nm,Size_Lx_A,Frequency_THz,Energy_level,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Relative_change_percent,Bulk_reference_change_percent,Average_MFP_nm,Maximum_MFP_nm
Ge,1.0,10,0.8,E3,0.924030012150858,0.9611125944731465,4.013136135694517,-4.605389999999998,37.734179,7371.252867
Ge,1.0,10,5.6,E3,0.924030012150858,0.9025549817940434,-2.324061997383331,-32.938069999999996,37.734179,7371.252867
Ge,2.0,20,0.8,E3,1.682561796260948,1.7688751455098926,5.129876919870235,-4.605389999999998,37.734179,7371.252867
Ge,2.0,20,5.6,E3,1.682561796260948,1.6181947469926792,-3.825538497980152,-32.938069999999996,37.734179,7371.252867
Ge,5.0,50,0.8,E3,3.517543043506717,3.7264184620073104,5.938105544612204,-4.605389999999998,37.734179,7371.252867
Ge,5.0,50,5.6,E3,3.517543043506717,3.289807092089195,-6.474290395334781,-32.938069999999996,37.734179,7371.252867
Ge,10.0,100,0.8,E3,5.915075123229841,6.286675495037563,6.28225954981303,-4.605389999999998,37.734179,7371.252867
Ge,10.0,100,5.6,E3,5.915075123229841,5.352536954832467,-9.510245545118423,-32.938069999999996,37.734179,7371.252867
Ge,20.0,200,0.8,E3,9.357041855341922,9.989628551885684,6.760541486544902,-4.605389999999998,37.734179,7371.252867
Ge,20.0,200,5.6,E3,9.357041855341922,8.143040226723203,-12.974203251272709,-32.938069999999996,37.734179,7371.252867
Ge,50.0,500,0.8,E3,15.350172723023707,16.03436140159704,4.4572050811331865,-4.605389999999998,37.734179,7371.252867
Ge,50.0,500,5.6,E3,15.350172723023707,12.762205087926306,-16.859534298371194,-32.938069999999996,37.734179,7371.252867
Ge,100.0,1000,0.8,E3,20.723380668707065,21.765926471651028,5.0307708940474205,-4.605389999999998,37.734179,7371.252867
Ge,100.0,1000,5.6,E3,20.723380668707065,16.740509544002972,-19.219215186826876,-32.938069999999996,37.734179,7371.252867
Ge,200.0,2000,0.8,E3,26.45965374592799,27.67505621753263,4.593417900609098,-4.605389999999998,37.734179,7371.252867
Ge,200.0,2000,5.6,E3,26.45965374592799,20.909175688117426,-20.977137913850274,-32.938069999999996,37.734179,7371.252867
Ge,500.0,5000,0.8,E3,34.19526488797016,35.266758122069696,3.1334549903617948,-4.605389999999998,37.734179,7371.252867
Ge,500.0,5000,5.6,E3,34.19526488797016,26.146526288326847,-23.537582253017863,-32.938069999999996,37.734179,7371.252867
Ge,1000.0,10000,0.8,E3,39.77358234416101,39.87670295755584,0.2592691110962386,-4.605389999999998,37.734179,7371.252867
Ge,1000.0,10000,5.6,E3,39.77358234416101,29.55762852306704,-25.68527454403092,-32.938069999999996,37.734179,7371.252867
Ge,2000.0,20000,0.8,E3,44.7915880238732,43.63055650313696,-2.592074922901666,-4.605389999999998,37.734179,7371.252867
Ge,2000.0,20000,5.6,E3,44.7915880238732,32.12048055828358,-28.289033777583693,-32.938069999999996,37.734179,7371.252867
Ge,5000.0,50000,0.8,E3,49.98015975237194,47.172424511739464,-5.617699612293114,-4.605389999999998,37.734179,7371.252867
Ge,5000.0,50000,5.6,E3,49.98015975237194,34.39596763213537,-31.180756919243315,-32.938069999999996,37.734179,7371.252867
Ge,10000.0,100000,0.8,E3,52.51168623481974,49.17179272067954,-6.360286164121631,-4.605389999999998,37.734179,7371.252867
Ge,10000.0,100000,5.6,E3,52.51168623481974,35.42419559161016,-32.54035790585432,-32.938069999999996,37.734179,7371.252867
Ge,20000.0,200000,0.8,E3,54.27861309004362,50.62666108987639,-6.72816012102031,-4.605389999999998,37.734179,7371.252867
Ge,20000.0,200000,5.6,E3,54.27861309004362,36.131227333216806,-33.433768336567184,-32.938069999999996,37.734179,7371.252867
Si,1.0,10,1.2,E3,1.692047305975446,1.7190510166111466,1.5959193658674486,-5.341669999999999,51.533727,10114.768064
Si,1.0,10,10.0,E3,1.692047305975446,1.6587384263540663,-1.9685548686345644,-29.430769999999995,51.533727,10114.768064
Si,2.0,20,1.2,E3,3.115244734480536,3.21882442626734,3.32492951967307,-5.341669999999999,51.533727,10114.768064
Si,2.0,20,10.0,E3,3.115244734480536,3.0293925289323083,-2.755873546562415,-29.430769999999995,51.533727,10114.768064
Si,5.0,50,1.2,E3,6.6484045502235185,6.974276671678311,4.9015086099692295,-5.341669999999999,51.533727,10114.768064
Si,5.0,50,10.0,E3,6.6484045502235185,6.35222296259708,-4.45492727449146,-29.430769999999995,51.533727,10114.768064
Si,10.0,100,1.2,E3,11.405665472072108,12.08289277627934,5.937639551725327,-5.341669999999999,51.533727,10114.768064
Si,10.0,100,10.0,E3,11.405665472072108,10.662730938217637,-6.513732457554711,-29.430769999999995,51.533727,10114.768064
Si,20.0,200,1.2,E3,18.45803193856228,19.75475654243319,7.025259291928143,-5.341669999999999,51.533727,10114.768064
Si,20.0,200,10.0,E3,18.45803193856228,16.780737632072203,-9.087070127914853,-29.430769999999995,51.533727,10114.768064
Si,50.0,500,1.2,E3,31.088048335543164,33.710059351563224,8.434144812565481,-5.341669999999999,51.533727,10114.768064
Si,50.0,500,10.0,E3,31.088048335543164,27.059746362593778,-12.957719086996534,-29.430769999999995,51.533727,10114.768064
Si,100.0,1000,1.2,E3,42.35026872971173,46.61359216263053,10.066815538121432,-5.341669999999999,51.533727,10114.768064
Si,100.0,1000,10.0,E3,42.35026872971173,35.71547210502911,-15.666480576610464,-29.430769999999995,51.533727,10114.768064
Si,200.0,2000,1.2,E3,54.27832365933669,59.914815026991306,10.384424181981998,-5.341669999999999,51.533727,10114.768064
Si,200.0,2000,10.0,E3,54.27832365933669,44.52176855876976,-17.975048680208573,-29.430769999999995,51.533727,10114.768064
Si,500.0,5000,1.2,E3,69.9941383226529,76.3859506535196,9.131925164079146,-5.341669999999999,51.533727,10114.768064
