Normalized_target_frequency,Knudsen_number,Relative_change_percent
0.0,0.01,-0.37674831115032786
0.003861003861003861,0.01,-0.33050253580761935
0.007722007722007722,0.01,-0.2814621662252195
0.011583011583011584,0.01,-0.2298198782231317
0.015444015444015444,0.01,-0.17579591382725027
0.019305019305019305,0.01,-0.11963621128723975
0.02316602316602317,0.01,-0.06161014863126357
0.02702702702702703,0.01,-0.0020079437623566803
0.03088803088803089,0.01,0.0588622382256024
0.03474903474903475,0.01,0.12067741365637494
0.03861003861003861,0.01,0.18310308343992568
0.04247104247104247,0.01,0.2457966467085117
0.04633204633204634,0.01,0.3084108599211856
0.0501930501930502,0.01,0.37059727732847186
0.05405405405405406,0.01,0.4320096112864545
0.05791505791505792,0.01,0.4923069550663338
0.06177606177606178,0.01,0.5511568163232508
0.06563706563706564,0.01,0.608237916029584
0.0694980694980695,0.01,0.6632427151772418
0.07335907335907337,0.01,0.7158796396295714
0.07722007722007722,0.01,0.7658749818715015
0.08108108108108109,0.01,0.8129744667895006
0.08494208494208494,0.01,0.8569444767527549
0.0888030888030888,0.01,0.897572938932685
0.09266409266409267,0.01,0.9346698847931838
0.09652509652509653,0.01,0.9680676978514886
0.1003861003861004,0.01,0.997621071035276
0.10424710424710425,0.01,1.0232066991725843
0.10810810810810811,0.01,1.044722735317932
0.11196911196911197,0.01,1.062088041749242
0.11583011583011583,0.01,1.0752412676082765
0.11969111969111969,0.01,1.0841397853754062
0.12355212355212356,0.01,1.0887585177624872
0.1274131274131274,0.01,1.0890886852881456
0.1312741312741313,0.01,1.0851365028907052
0.13513513513513514,0.01,1.0769218515628902
0.138996138996139,0.01,1.0644769482863279
0.14285714285714285,0.01,1.047845034623928
0.14671814671814673,0.01,1.027079101306592
0.15057915057915058,0.01,1.0022406631275376
0.15444015444015444,0.01,0.9733985955182745
0.15830115830115832,0.01,0.9406280413956273
0.16216216216216217,0.01,0.9040093942938292
0.16602316602316602,0.01,0.863627361469815
0.16988416988416988,0.01,0.8195701086181271
0.17374517374517376,0.01,0.7719284860672025
0.1776061776061776,0.01,0.7207953348530116
0.18146718146718147,0.01,0.6662648698697731
0.18532818532818535,0.01,0.6084321363667019
0.1891891891891892,0.01,0.5473925353724045
0.19305019305019305,0.01,0.48324141315981806
0.1969111969111969,0.01,0.4160737095877506
0.2007722007722008,0.01,0.3459836600416167
0.20463320463320464,0.01,0.27306454571836425
0.2084942084942085,0.01,0.19740848713214443
0.21235521235521235,0.01,0.11910627593386203
0.21621621621621623,0.01,0.03824724041606868
0.22007722007722008,0.01,-0.04508085960368762
0.22393822393822393,0.01,-0.13079191248071026
0.22779922779922782,0.01,-0.2188015126227883
0.23166023166023167,0.01,-0.3090269997926329
0.23552123552123552,0.01,-0.40138748272334257
0.23938223938223938,0.01,-0.4958038496015049
0.24324324324324326,0.01,-0.5921987676573225
0.2471042471042471,0.01,-0.6904966738090046
0.25096525096525096,0.01,-0.7906237580419426
0.2548262548262548,0.01,-0.8925079409618956
0.25868725868725867,0.01,-0.9960788467459292
0.2625482625482626,0.01,-1.1012677725239595
0.26640926640926643,0.01,-1.2080076550560184
0.2702702702702703,0.01,-1.3162330354246305
0.27413127413127414,0.01,-1.4258800223354002
0.277992277992278,0.01,-1.5368862545108704
0.28185328185328185,0.01,-1.6491908625703706
0.2857142857142857,0.01,-1.7627344307106603
0.2895752895752896,0.01,-1.877458958436314
0.29343629343629346,0.01,-1.9933078225340715
0.2972972972972973,0.01,-2.110225739439527
0.30115830115830117,0.01,-2.22815872810697
0.305019305019305,0.01,-2.3470540734621337
0.3088803088803089,0.01,-2.466860290492537
0.3127413127413127,0.01,-2.5875270890094058
0.31660231660231664,0.01,-2.7090053390991726
0.3204633204633205,0.01,-2.8312470372690295
0.32432432432432434,0.01,-2.954205273281287
0.3281853281853282,0.01,-3.0778341976628822
0.33204633204633205,0.01,-3.2020889898706733
0.3359073359073359,0.01,-3.3269258270883992
0.33976833976833976,0.01,-3.4523018536282146
0.34362934362934366,0.01,-3.5781751509071986
0.3474903474903475,0.01,-3.70450470796794
0.35135135135135137,0.01,-3.831250392512019
0.3552123552123552,0.01,-3.958372922413985
0.3590733590733591,0.01,-4.085833837684957
