Material,Size_Lx_A,H_nm,Average_MFP_nm,Knudsen_number,Frequency_THz,Debye_frequency_THz,Normalized_frequency,Kappa_unexcited_W_mK,Kappa_excited_W_mK,Ratio_raw,Ratio_plotted,Relative_change_plotted_percent,Was_overridden_in_plot
Ge,20,2.0,37.734179,18.8670895,0.8,7.5,0.10666666666666667,1.682561796260948,1.748934242528306,1.0394472562106505,1.0394472562106505,3.9447256210650483,False
Ge,20,2.0,37.734179,18.8670895,1.0,7.5,0.13333333333333333,1.682561796260948,1.7380804747713454,1.0329965167602004,1.0329965167602004,3.2996516760200434,False
Ge,20,2.0,37.734179,18.8670895,1.2,7.5,0.16,1.682561796260948,1.746389640632354,1.0379349183567859,1.0379349183567859,3.7934918356785863,False
Ge,20,2.0,37.734179,18.8670895,1.4,7.5,0.18666666666666665,1.682561796260948,1.7363349209249093,1.0319590785809223,1.0319590785809223,3.1959078580922284,False
Ge,20,2.0,37.734179,18.8670895,1.6,7.5,0.21333333333333335,1.682561796260948,1.73324906074592,1.0301250537113176,1.0301250537113176,3.0125053711317573,False
Ge,20,2.0,37.734179,18.8670895,1.8,7.5,0.24000000000000002,1.682561796260948,1.7355619473020618,1.0314996757675663,1.0314996757675663,3.1499675767566293,False
Ge,20,2.0,37.734179,18.8670895,2.0,7.5,0.26666666666666666,1.682561796260948,1.7337288315067778,1.0304101967366281,1.0304101967366281,3.041019673662815,False
Ge,20,2.0,37.734179,18.8670895,2.2,7.5,0.29333333333333333,1.682561796260948,1.7246625486389326,1.0250218164180016,1.0250218164180016,2.502181641800161,False
Ge,20,2.0,37.734179,18.8670895,2.4,7.5,0.32,1.682561796260948,1.7298349269968103,1.0280959254161806,1.0280959254161806,2.8095925416180556,False
Ge,20,2.0,37.734179,18.8670895,2.6,7.5,0.3466666666666667,1.682561796260948,1.7292969828151756,1.02777620807633,1.02777620807633,2.7776208076329967,False
Ge,20,2.0,37.734179,18.8670895,2.8,7.5,0.3733333333333333,1.682561796260948,1.7284508038345945,1.027273296990115,1.027273296990115,2.727329699011505,False
Ge,20,2.0,37.734179,18.8670895,3.0,7.5,0.4,1.682561796260948,1.7265965228950193,1.0261712388406339,1.0261712388406339,2.617123884063388,False
Ge,20,2.0,37.734179,18.8670895,3.2,7.5,0.4266666666666667,1.682561796260948,1.7187990379540583,1.0215369454920693,1.0215369454920693,2.1536945492069304,False
Ge,20,2.0,37.734179,18.8670895,3.4,7.5,0.4533333333333333,1.682561796260948,1.7345982068339192,1.0309268941495096,1.0309268941495096,3.0926894149509554,False
Ge,20,2.0,37.734179,18.8670895,3.6,7.5,0.48000000000000004,1.682561796260948,1.7525548670214866,1.0415991085237284,1.0415991085237284,4.159910852372839,False
Ge,20,2.0,37.734179,18.8670895,3.8,7.5,0.5066666666666666,1.682561796260948,1.741823938507718,1.0352213763431837,1.0352213763431837,3.5221376343183675,False
Ge,20,2.0,37.734179,18.8670895,4.0,7.5,0.5333333333333333,1.682561796260948,1.7432957851970972,1.0360961416520418,1.0360961416520418,3.609614165204178,False
Ge,20,2.0,37.734179,18.8670895,4.2,7.5,0.56,1.682561796260948,1.732986867344133,1.029969223831922,1.029969223831922,2.996922383192202,False
Ge,20,2.0,37.734179,18.8670895,4.4,7.5,0.5866666666666667,1.682561796260948,1.7269533870637233,1.0263833345684086,1.0263833345684086,2.638333456840858,False
Ge,20,2.0,37.734179,18.8670895,4.6,7.5,0.6133333333333333,1.682561796260948,1.7252398631019816,1.0253649327685166,1.0253649327685166,2.536493276851659,False
Ge,20,2.0,37.734179,18.8670895,4.8,7.5,0.64,1.682561796260948,1.7244838077061255,1.0249155849956526,1.0249155849956526,2.4915584995652607,False
Ge,20,2.0,37.734179,18.8670895,5.0,7.5,0.6666666666666666,1.682561796260948,1.7126378259996613,1.0178751412313944,1.0178751412313944,1.7875141231394442,False
Ge,20,2.0,37.734179,18.8670895,5.2,7.5,0.6933333333333334,1.682561796260948,1.6910864687020943,1.0050664840127062,1.0050664840127062,0.5066484012706152,False
Ge,20,2.0,37.734179,18.8670895,5.4,7.5,0.7200000000000001,1.682561796260948,1.6715953104265668,0.99348226861043,0.99348226861043,-0.6517731389570014,False
Ge,20,2.0,37.734179,18.8670895,5.6,7.5,0.7466666666666666,1.682561796260948,1.6620958272294264,0.9878364235554368,0.9878364235554368,-1.2163576444563229,False
Ge,20,2.0,37.734179,18.8670895,5.8,7.5,0.7733333333333333,1.682561796260948,1.6665190869482605,0.9904653075159924,0.9904653075159924,-0.9534692484007623,False
Ge,20,2.0,37.734179,18.8670895,6.0,7.5,0.8,1.682561796260948,1.6777585258142802,0.9971452635752566,0.9971452635752566,-0.28547364247434315,False
Ge,20,2.0,37.734179,18.8670895,6.2,7.5,0.8266666666666667,1.682561796260948,1.6866589000253265,1.002435039101377,1.002435039101377,0.243503910137699,False
Ge,20,2.0,37.734179,18.8670895,6.4,7.5,0.8533333333333334,1.682561796260948,1.7045421160393035,1.013063603266876,1.013063603266876,1.3063603266876056,False
Ge,20,2.0,37.734179,18.8670895,6.6,7.5,0.88,1.682561796260948,1.7213954888643292,1.0230800988645283,1.0230800988645283,2.308009886452833,False
Ge,20,2.0,37.734179,18.8670895,6.8,7.5,0.9066666666666666,1.682561796260948,1.7294494151539124,1.0278668034643124,1.0278668034643124,2.786680346431236,False
Ge,20,2.0,37.734179,18.8670895,7.0,7.5,0.9333333333333333,1.682561796260948,1.734918686553637,1.0311173654418153,1.0311173654418153,3.1117365441815314,False
Ge,20,2.0,37.734179,18.8670895,7.2,7.5,0.9600000000000001,1.682561796260948,1.735214181540892,1.0312929875128212,1.0312929875128212,3.129298751282117,False
Ge,20,2.0,37.734179,18.8670895,7.4,7.5,0.9866666666666667,1.682561796260948,1.7273145484849877,1.0265979842900812,1.0265979842900812,2.65979842900812,False
Ge,50,5.0,37.734179,7.546835799999999,0.4,7.5,0.05333333333333334,3.517543043506717,3.664449500312537,1.041763940053841,1.041763940053841,4.176394005384099,False
Ge,50,5.0,37.734179,7.546835799999999,0.6,7.5,0.08,3.517543043506717,3.621653552772401,1.0295975082544815,1.0295975082544815,2.9597508254481486,False
Ge,50,5.0,37.734179,7.546835799999999,0.8,7.5,0.10666666666666667,3.517543043506717,3.6726371990534776,1.0440916155476931,1.0440916155476931,4.409161554769314,False
Ge,50,5.0,37.734179,7.546835799999999,1.0,7.5,0.13333333333333333,3.517543043506717,3.636874124520078,1.033924554593196,1.033924554593196,3.39245545931961,False
Ge,50,5.0,37.734179,7.546835799999999,1.2,7.5,0.16,3.517543043506717,3.6340929074071657,1.0331338842080686,1.0331338842080686,3.313388420806862,False
Ge,50,5.0,37.734179,7.546835799999999,1.4,7.5,0.18666666666666665,3.517543043506717,3.626211427829619,1.030893263558921,1.030893263558921,3.089326355892097,False
Ge,50,5.0,37.734179,7.546835799999999,1.6,7.5,0.21333333333333335,3.517543043506717,3.6012889632374385,1.0238080724798275,1.0238080724798275,2.3808072479827525,False
Ge,50,5.0,37.734179,7.546835799999999,1.8,7.5,0.24000000000000002,3.517543043506717,3.613088973351635,1.0271626895998596,1.0271626895998596,2.716268959985957,False
Ge,50,5.0,37.734179,7.546835799999999,2.0,7.5,0.26666666666666666,3.517543043506717,3.6141688785232513,1.0274696951313511,1.0274696951313511,2.7469695131351113,False
Ge,50,5.0,37.734179,7.546835799999999,2.2,7.5,0.29333333333333333,3.517543043506717,3.5862504889545295,1.0195327945096917,1.0195327945096917,1.9532794509691698,False
Ge,50,5.0,37.734179,7.546835799999999,2.4,7.5,0.32,3.517543043506717,3.6002103684701,1.023501439482307,1.023501439482307,2.3501439482306985,False
Ge,50,5.0,37.734179,7.546835799999999,2.6,7.5,0.3466666666666667,3.517543043506717,3.593850164211046,1.0216933011936242,1.0216933011936242,2.1693301193624226,False
Ge,50,5.0,37.734179,7.546835799999999,2.8,7.5,0.3733333333333333,3.517543043506717,3.590861380385271,1.0208436218041161,1.0208436218041161,2.084362180411614,False
Ge,50,5.0,37.734179,7.546835799999999,3.0,7.5,0.4,3.517543043506717,3.578938227703857,1.0174539965645832,1.0174539965645832,1.745399656458324,False
Ge,50,5.0,37.734179,7.546835799999999,3.2,7.5,0.4266666666666667,3.517543043506717,3.563212112289626,1.012983229549163,1.012983229549163,1.2983229549162978,False
Ge,50,5.0,37.734179,7.546835799999999,3.4,7.5,0.4533333333333333,3.517543043506717,3.612111315337117,1.0268847518454594,1.0268847518454594,2.6884751845459354,False
Ge,50,5.0,37.734179,7.546835799999999,3.6,7.5,0.48000000000000004,3.517543043506717,3.660562690429519,1.0406589614267299,1.0406589614267299,4.065896142672987,False
Ge,50,5.0,37.734179,7.546835799999999,3.8,7.5,0.5066666666666666,3.517543043506717,3.6219535489364354,1.029682793966788,1.029682793966788,2.968279396678808,False
Ge,50,5.0,37.734179,7.546835799999999,4.0,7.5,0.5333333333333333,3.517543043506717,3.6237453674255775,1.0301921888674275,1.0301921888674275,3.019218886742747,False
Ge,50,5.0,37.734179,7.546835799999999,4.2,7.5,0.56,3.517543043506717,3.586068855225981,1.019481157976378,1.019481157976378,1.948115797637806,False
Ge,50,5.0,37.734179,7.546835799999999,4.4,7.5,0.5866666666666667,3.517543043506717,3.573523318444227,1.0159145955700095,1.0159145955700095,1.5914595570009515,False
Ge,50,5.0,37.734179,7.546835799999999,4.6,7.5,0.6133333333333333,3.517543043506717,3.5819672621890324,1.0183151187875983,1.0183151187875983,1.8315118787598283,False
Ge,50,5.0,37.734179,7.546835799999999,4.8,7.5,0.64,3.517543043506717,3.5730274216172337,1.0157736173869825,1.0157736173869825,1.5773617386982464,False
Ge,50,5.0,37.734179,7.546835799999999,5.0,7.5,0.6666666666666666,3.517543043506717,3.53861280957606,1.0059899099481489,1.0059899099481489,0.5989909948148853,False
Ge,50,5.0,37.734179,7.546835799999999,5.2,7.5,0.6933333333333334,3.517543043506717,3.4835706301981393,0.9903420049482294,0.9903420049482294,-0.9657995051770563,False
Ge,50,5.0,37.734179,7.546835799999999,5.4,7.5,0.7200000000000001,3.517543043506717,3.445633455815144,0.9795568705763767,0.9795568705763767,-2.044312942362325,False
Ge,50,5.0,37.734179,7.546835799999999,5.6,7.5,0.7466666666666666,3.517543043506717,3.420146409091724,0.9723111748142543,0.9723111748142543,-2.768882518574567,False
