Material,Temperature_K,H_nm,Frequency_THz,Energy_level,Film_Kappa_unexcited_W_mK,Film_Kappa_excited_W_mK,Film_relative_change_percent,Bulk_Kappa_unexcited_W_mK,Bulk_Kappa_excited_W_mK,Bulk_relative_change_percent
Si,1000,100,10.0,E3,18.352752144861057,17.34591145318379,-5.486047453428899,38.539,34.901,-9.439790000000004
Si,2000,100,1.2,E3,10.660892613819934,11.60591128467091,8.86434846577413,19.097,18.938,-0.8325899999999997
Si,2000,100,10.0,E3,10.660892613819934,10.314265380236856,-3.2513903491883767,19.097,18.118,-5.12646
SiC,100,100,2.0,E3,63.36213601455021,68.80859885614889,8.595768994195495,5717.0,3440.5,-39.81983999999999
SiC,100,100,15.0,E3,63.36213601455021,45.04268349311488,-28.912302636433417,5717.0,1027.4,-82.02904
SiC,200,100,2.0,E3,129.40228946966857,151.78502014546876,17.297012879394714,1010.1,914.37,-9.477279999999999
SiC,200,100,15.0,E3,129.40228946966857,99.46316452898184,-23.136472363345906,1010.1,573.99,-43.17493
SiC,300,100,2.0,E3,119.87601563103668,144.6863968911566,20.696701612508672,451.3,431.08,-4.480390000000001
SiC,300,100,15.0,E3,119.87601563103668,97.89180753545035,-18.33912144965758,451.3,337.38,-25.24263
SiC,400,100,2.0,E3,103.24769623581842,125.0838106473208,21.14925098341036,285.38,277.09,-2.904899999999999
SiC,400,100,15.0,E3,103.24769623581842,87.62607659827361,-15.130235547207683,285.38,235.13,-17.608100000000004
SiC,500,100,2.0,E3,89.6433108326444,108.031852462373,20.513010350608596,209.7,205.17,-2.1602299999999963
SiC,500,100,15.0,E3,89.6433108326444,77.99972508751465,-12.988794854829976,209.7,181.28,-13.55269
SiC,600,100,2.0,E3,79.12300385390483,94.7109844928229,19.70094647531355,166.6,163.72,-1.7286899999999994
SiC,600,100,15.0,E3,79.12300385390483,69.97532562775395,-11.561338397922105,166.6,148.24,-11.020410000000002
SiC,1000,100,2.0,E3,54.27859177345062,62.991286626933544,16.051807109971072,93.089,92.175,-0.9818600000000011
SiC,1000,100,15.0,E3,54.27859177345062,49.87175115375333,-8.11892953688017,93.089,87.3,-6.2187800000000015
SiC,2000,100,2.0,E3,31.124451341049205,34.444628975124516,10.66742541962955,45.141,44.924,-0.48072000000000115
SiC,2000,100,15.0,E3,31.124451341049205,29.72700802396295,-4.489856870965003,45.141,43.889,-2.773530000000002
